物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
グレイス二条,地下鉄東西線,二条駅,4,京都府京都市中京区西ノ京職司町,24,4.3,1,K,20,,,4.3
グレイス二条,地下鉄東西線,二条駅,4,京都府京都市中京区西ノ京職司町,24,4.5,1,K,20,,,4.5
Casa　Felice,京阪鴨東線,神宮丸太町駅,4,京都府京都市中京区末丸町,27,5.1,1,K,20.85,6000,,
Casa　Felice,京阪鴨東線,神宮丸太町駅,4,京都府京都市中京区末丸町,27,5.1,1,K,20.85,6000,,
サンシャイン西院,阪急京都線,西院駅,8,京都府京都市中京区壬生西大竹町,35,4.8,1,K,20.74,5000,5,5
サンシャイン西院,阪急京都線,西院駅,8,京都府京都市中京区壬生西大竹町,35,4.9,1,K,23.02,5000,5,5
阪急京都線 大宮駅 11階建 築19年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,19,7.6,1,DK,40.54,8000,,7.6
阪急京都線 大宮駅 11階建 築19年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,19,7.6,1,DK,39.38,8000,,7.6
阪急京都線 大宮駅 11階建 築19年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,19,7.6,1,DK,37.33,8000,,7.6
阪急京都線 大宮駅 11階建 築19年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,19,7.6,1,DK,36.66,8000,,7.6
阪急京都線 大宮駅 11階建 築19年,阪急京都線,大宮駅,1,京都府京都市中京区壬生賀陽御所町,19,7.6,1,DK,36.66,8000,,7.6
グレース円町,ＪＲ山陰本線,円町駅,8,京都府京都市中京区西ノ京壺ノ内町,28,3.8,1,K,19,5000,5,5
グレース円町,ＪＲ山陰本線,円町駅,8,京都府京都市中京区西ノ京壺ノ内町,28,3.9,1,K,19,5000,5,5
グレース円町,ＪＲ山陰本線,円町駅,8,京都府京都市中京区西ノ京壺ノ内町,28,4,1,K,19,5000,5,5
グレース円町,ＪＲ山陰本線,円町駅,8,京都府京都市中京区西ノ京壺ノ内町,28,4.2,1,K,19,5000,5,5
御所南名神館,地下鉄烏丸線,丸太町駅,2,京都府京都市中京区三本木町,24,7.7,2,K,35,3000,10,10
御所南名神館,地下鉄烏丸線,丸太町駅,2,京都府京都市中京区三本木町,24,7.9,2,K,35,3000,10,10
地下鉄烏丸線 烏丸御池駅 5階建 築38年,地下鉄烏丸線,烏丸御池駅,3,京都府京都市中京区大阪材木町,38,4.4,1,K,28,6000,,
