物件名,路線,最寄駅,距離,住所,築年数,賃料,部屋数,プラン,面積,管理費,敷金,礼金
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,4.5,1,K,27,5000,,4.5
ルミエール末広,地下鉄烏丸線,北野白梅町駅,16.0,京都府京都市上京区末広町,40,4.5,1,R,21.07,5000,,4.5
京阪鴨東線 出町柳駅 4階建 築42年,地下鉄烏丸線,出町柳駅,4.0,京都府京都市上京区三芳町,42,3.8,1,K,15,4000,,
京阪鴨東線 出町柳駅 4階建 築42年,地下鉄烏丸線,出町柳駅,4.0,京都府京都市上京区三芳町,42,3.8,1,K,15,4000,,
地下鉄烏丸線 今出川駅 2階建 築35年,地下鉄烏丸線,今出川駅,20.0,京都府京都市上京区西千本町,35,4,1,K,21,,4,
地下鉄烏丸線 今出川駅 2階建 築35年,地下鉄烏丸線,今出川駅,20.0,京都府京都市上京区西千本町,35,4,1,K,21,,4,
地下鉄烏丸線 今出川駅 2階建 築35年,地下鉄烏丸線,今出川駅,20.0,京都府京都市上京区西千本町,35,4,1,K,17,,4,
コーポ千尋,京阪鴨東線,今出川駅,1.0,京都府京都市上京区御所八幡町,39,3.5,1,K,17.72,,,
コーポ千尋,京阪鴨東線,今出川駅,1.0,京都府京都市上京区御所八幡町,39,3.5,1,K,18,,,
コーポ千尋,京福電鉄北野線,今出川駅,1.0,京都府京都市上京区御所八幡町,39,4,1,K,15.8,,,
地下鉄烏丸線 今出川駅 4階建 築32年,地下鉄烏丸線,今出川駅,18.0,京都府京都市上京区新元町,32,2.7,1,R,12.96,5000,,
地下鉄烏丸線 今出川駅 4階建 築32年,地下鉄烏丸線,今出川駅,18.0,京都府京都市上京区新元町,32,2.9,1,K,17.82,5000,,
ベルメゾン丸松,地下鉄烏丸線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3,1,K,14.85,4000,,
ベルメゾン丸松,京阪鴨東線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3,1,K,14.85,4000,,
ベルメゾン丸松,京阪鴨東線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3,1,K,14.85,4000,,
ベルメゾン丸松,地下鉄烏丸線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3,1,K,14.85,4000,,
ベルメゾン丸松,地下鉄烏丸線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3.5,1,K,17,4000,,
ベルメゾン丸松,地下鉄烏丸線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3.5,1,K,17,4000,,
ベルメゾン丸松,京福電鉄北野線,今出川駅,10.0,京都府京都市上京区仕丁町,46,3.5,1,K,17,4000,,
レオパレス西陣Ａ,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区家永町,31,4.3,1,K,17.39,5000,,4.3
レオパレス西陣Ａ,京福電鉄北野線,北野白梅町駅,14.0,京都府京都市上京区家永町,31,4.4,1,K,17.39,5000,,4.4
すみれハイツ,京福電鉄北野線,鞍馬口駅,19.0,京都府京都市上京区歓喜町,50,3.7,1,DK,29.97,2000,5,
すみれハイツ,京福電鉄北野線,鞍馬口駅,19.0,京都府京都市上京区歓喜町,50,3.8,1,DK,27,2000,5,5
すみれハイツ,京福電鉄北野線,鞍馬口駅,19.0,京都府京都市上京区歓喜町,50,3.9,2,K,23.5,2000,5,
上京区鏡石町貸家,京福電鉄北野線,今出川駅,16.0,京都府京都市上京区鏡石町,54,7.5,1,LDK,40,,,15
地下鉄烏丸線 今出川駅 平屋 築54年,地下鉄烏丸線,今出川駅,16.0,京都府京都市上京区鏡石町,54,7.5,1,LDK,40,,,15
地下鉄烏丸線 今出川駅 4階建 築29年,地下鉄烏丸線,二条駅,19.0,京都府京都市上京区下山里町,29,4.9,1,K,23.5,6000,4.9,4.9
地下鉄烏丸線 今出川駅 4階建 築29年,地下鉄烏丸線,二条駅,19.0,京都府京都市上京区下山里町,29,4.9,1,K,24,6000,4.9,4.9
Ｋハイツ87,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区四番町,38,3,1,K,18,,,
京福電鉄北野線 北野白梅町駅 5階建 築39年,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区西五辻東町,39,3.8,1,K,20,6000,,
紘学ハイツ,京福電鉄北野線,今出川駅,11.0,京都府京都市上京区南門前町,46,2.5,1,K,14.62,3000,,
地下鉄烏丸線 鞍馬口駅 5階建 築8年,地下鉄東西線,鞍馬口駅,23.0,京都府京都市上京区新猪熊町,8,5.9,1,K,22.91,6000,,15
ＪＲ山陰本線 二条駅 5階建 築36年,地下鉄烏丸線,二条駅,20.0,京都府京都市上京区五番町,36,4.1,1,K,17,3000,,5
地下鉄烏丸線 今出川駅 4階建 築43年,地下鉄烏丸線,今出川駅,3.0,京都府京都市上京区弁財天町,43,3.6,1,K,17,4000,5,
地下鉄烏丸線 今出川駅 4階建 築43年,地下鉄烏丸線,今出川駅,3.0,京都府京都市上京区弁財天町,43,3.6,1,K,17,4000,5,
ＤＥＴＯＭ‐１西陣ＰＡＲＴII,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.3,1,K,18.58,5000,,
ＤＥＴＯＭ‐１西陣ＰＡＲＴII,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.9,1,R,24.34,,,
ＤＥＴＯＭ‐１西陣ＰＡＲＴII,ＪＲ山陰本線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.2,1,K,20.16,8000,,5
ＤＥＴＯＭ‐１西陣ＰＡＲＴII,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.8,1,K,20.16,5000,5,
京福電鉄北野線 北野白梅町駅 4階建 築36年,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.3,1,K,18.58,5000,,
京福電鉄北野線 北野白梅町駅 4階建 築36年,ＪＲ山陰本線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.9,1,R,24.34,,,
京福電鉄北野線 北野白梅町駅 4階建 築36年,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.2,1,K,20.16,8000,,5
京福電鉄北野線 北野白梅町駅 4階建 築36年,地下鉄烏丸線,北野白梅町駅,15.0,京都府京都市上京区姥ケ北町,36,3.8,1,K,20.16,5000,5,
地下鉄烏丸線 今出川駅 4階建 築35年,京福電鉄北野線,今出川駅,20.0,京都府京都市上京区姥ケ北町,35,3.3,1,K,18.58,5000,,
地下鉄烏丸線 今出川駅 4階建 築35年,地下鉄烏丸線,今出川駅,20.0,京都府京都市上京区姥ケ北町,35,3.9,1,K,21.15,3000,,
地下鉄烏丸線 今出川駅 4階建 築35年,地下鉄烏丸線,今出川駅,20.0,京都府京都市上京区姥ケ北町,35,3.8,1,K,20.16,5000,5,
京福電鉄北野線 北野白梅町駅 3階建 築43年,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.3,1,K,22.57,6000,5,
京福電鉄北野線 北野白梅町駅 3階建 築43年,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
京福電鉄北野線 北野白梅町駅 3階建 築43年,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
京福電鉄北野線 北野白梅町駅 3階建 築43年,京福電鉄北野線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
京福電鉄北野線 北野白梅町駅 3階建 築43年,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
京福電鉄北野線 北野白梅町駅 3階建 築43年,京阪鴨東線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
京福電鉄北野線 北野白梅町駅 3階建 築43年,京阪鴨東線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
京福電鉄北野線 北野白梅町駅 3階建 築43年,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,21.96,6000,5,2
京福電鉄北野線 北野白梅町駅 3階建 築43年,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,22.57,6000,5,2
京福電鉄北野線 北野白梅町駅 3階建 築43年,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,22.57,6000,5,2
ハイツ北野,地下鉄東西線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.3,1,K,19,6000,5,
ハイツ北野,地下鉄東西線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,22.57,6000,5,
ハイツ北野,地下鉄東西線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,19,6000,5,
ハイツ北野,地下鉄東西線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.4,1,K,21.96,6000,5,
ハイツ北野,ＪＲ山陰本線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,22.57,6000,5,2
ハイツ北野,ＪＲ山陰本線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
ハイツ北野,ＪＲ山陰本線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.5,1,K,21.96,6000,5,2
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,21.96,6000,5,2
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,21.96,6000,5,2
ハイツ北野,地下鉄烏丸線,北野白梅町駅,5.0,京都府京都市上京区西町,43,3.6,1,K,18,6000,5,2
